Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2001-01-26,1354.95,1961.28,715.06,416.788,332.13,1708.18
2001-01-29,1364.17,1986.16,719.86,413.052,332.54,1686.28
2001-01-30,1373.73,2006.09,722.69,416.325,325.21,1668.43
2001-01-31,1366.01,2036.49,727.73,425.614,332.77,1687
2001-02-01,1373.47,2024.09,,430.581,330.46,1669.13
2001-02-02,1349.47,2011.77,736.34,451.979,334.1,1669.58
2001-02-05,1354.31,1989.27,732.02,458.952,329.08,1652.08
2001-02-06,1352.26,1986.24,732.81,450.11,323.16,1664.23
2001-02-07,1340.89,1987.35,729.1,444.333,327.51,1659.25
2001-02-08,1332.53,2031.19,719.87,440.776,,1683.44
2001-02-09,1314.76,2019.93,724.81,427.914,324.72,1695.59
2001-02-12,1330.31,2038.1,725.58,424.465,318.2,1712.06
2001-02-13,1318.8,2038.18,719.14,426.172,322.04,1692.27
2001-02-14,1315.92,2015.64,714.54,423.214,315.25,1687.74
2001-02-15,1326.61,2016.58,711.33,440.223,315.15,1688.05
2001-02-16,1301.53,2014.59,714.66,432.079,316,1689.91
2001-02-19,,1990.56,711.33,435.139,309.64,1673.95
2001-02-20,1278.94,2016.08,713.32,433.681,312.32,1659.08
2001-02-21,1255.27,2003.66,711.52,439.903,310.23,1654.86
2001-02-22,1252.82,1982,713.48,437.03,309.02,1641.05
2001-02-23,1245.86,1984.4,712.76,438.646,324.24,1647
2001-02-26,1267.65,2000.59,710.94,432.15,321.33,1636.04
2001-02-27,1257.94,1975.99,711.29,433.308,326.92,1632.3
2001-02-28,1239.94,1990.57,709.39,428.303,325.2,1613.49
2001-03-01,1241.23,1958.1,702,424.03,316.22,1570.2
2001-03-02,1234.18,1956.36,703.07,426.127,306.05,1596.97
2001-03-05,1241.41,1947.9,706.03,,300.24,1616.54
2001-03-06,1253.8,,,431.518,299.81,1611.47
2001-03-07,1261.89,1957.67,701.65,430.55,306.35,1603.85
2001-03-08,1264.74,1951.57,696.42,428.036,301.76,1589.57
2001-03-09,1233.42,1942.52,695.26,414.106,307,1588.39
2001-03-12,1180.16,1893.74,688.89,396.611,304.87,1567.53
2001-03-13,1197.66,1835.5,682.63,385.906,302.76,1526.4
2001-03-14,1166.71,1833.8,682.33,389.193,299.93,1523.79
2001-03-15,1173.56,1831.04,675.86,386.863,296.1,1491.61
